,a_tm,h_tm,sgoals,mqij,sim_ascore,sim_hscore
Los Angeles Lakers vs New Orleans Pelicans,Los Angeles Lakers,New Orleans Pelicans,208.7270583887692,-9.084593994660192,100.0,109.0
Los Angeles Lakers vs San Antonio Spurs,Los Angeles Lakers,San Antonio Spurs,202.94895436413384,-18.7028912786872,93.0,112.0
Los Angeles Lakers vs Boston Celtics,Los Angeles Lakers,Boston Celtics,210.16216847379332,-12.262280367420944,100.0,112.0
Los Angeles Lakers vs Charlotte Hornets,Los Angeles Lakers,Charlotte Hornets,204.30494939247131,-10.566707278625367,97.0,108.0
Los Angeles Lakers vs Denver Nuggets,Los Angeles Lakers,Denver Nuggets,214.9027356928715,-8.483178140845334,104.0,113.0
Los Angeles Lakers vs Indiana Pacers,Los Angeles Lakers,Indiana Pacers,204.66826405177687,-11.11624574232042,97.0,108.0
Los Angeles Lakers vs Memphis Grizzlies,Los Angeles Lakers,Memphis Grizzlies,200.47659362575126,-10.82734170606457,95.0,106.0
Los Angeles Lakers vs Miami Heat,Los Angeles Lakers,Miami Heat,200.7237718935467,-10.882843217662952,95.0,106.0
Los Angeles Lakers vs New York Knicks,Los Angeles Lakers,New York Knicks,204.36174477496553,-5.512303311162471,100.0,106.0
Los Angeles Lakers vs Phoenix Suns,Los Angeles Lakers,Phoenix Suns,214.3304659533759,-6.233285510114108,105.0,111.0
Los Angeles Lakers vs Portland Trail Blazers,Los Angeles Lakers,Portland Trail Blazers,211.95299938280158,-11.846657330660873,100.0,112.0
Los Angeles Lakers vs Sacramento Kings,Los Angeles Lakers,Sacramento Kings,213.11353574483024,-7.338626919952214,104.0,111.0
Los Angeles Lakers vs Toronto Raptors,Los Angeles Lakers,Toronto Raptors,207.0503470284649,-13.700043966132949,97.0,111.0
Los Angeles Lakers vs Utah Jazz,Los Angeles Lakers,Utah Jazz,196.3413357700045,-12.730826715134603,92.0,105.0
Los Angeles Lakers vs Cleveland Cavaliers,Los Angeles Lakers,Cleveland Cavaliers,208.51880157332306,-15.718876598067785,97.0,112.0
Los Angeles Lakers vs Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,206.99559740980845,-10.31796133835108,99.0,109.0
Los Angeles Lakers vs Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,211.11051112496295,-15.315569164421033,99.0,114.0
Los Angeles Lakers vs Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves,210.92803088351837,-6.241671570003506,103.0,109.0
Los Angeles Lakers vs Orlando Magic,Los Angeles Lakers,Orlando Magic,206.42779552328108,-6.214735468389296,101.0,107.0
Los Angeles Lakers vs Chicago Bulls,Los Angeles Lakers,Chicago Bulls,205.1440090733268,-11.132119753892956,97.0,108.0
Los Angeles Lakers vs Milwaukee Bucks,Los Angeles Lakers,Milwaukee Bucks,204.4659776325314,-9.182475507687668,98.0,107.0
Los Angeles Lakers vs Atlanta Hawks,Los Angeles Lakers,Atlanta Hawks,205.117817826406,-13.070868786985569,97.0,110.0
Los Angeles Lakers vs Detroit Pistons,Los Angeles Lakers,Detroit Pistons,204.3328853469216,-10.039815429575928,97.0,107.0
Los Angeles Lakers vs Golden State Warriors,Los Angeles Lakers,Golden State Warriors,217.5032523094763,-20.798517340203894,99.0,120.0
Los Angeles Lakers vs Houston Rockets,Los Angeles Lakers,Houston Rockets,216.62825485181145,-13.211180280188668,102.0,116.0
Los Angeles Lakers vs Oklahoma City Thunder,Los Angeles Lakers,Oklahoma City Thunder,213.06361177357195,-14.40323626421814,100.0,114.0
Los Angeles Lakers vs Philadelphia 76ers,Los Angeles Lakers,Philadelphia 76ers,205.6468283404178,-2.4092059577663227,102.0,105.0
Los Angeles Lakers vs Washington Wizards,Los Angeles Lakers,Washington Wizards,209.64234289812657,-11.552008722107667,100.0,112.0
Los Angeles Lakers vs Brooklyn Nets,Los Angeles Lakers,Brooklyn Nets,209.85694127979633,-5.202897634964483,103.0,108.0
New Orleans Pelicans vs Los Angeles Lakers,New Orleans Pelicans,Los Angeles Lakers,208.7270583887692,3.4315273981874372,107.0,103.0
New Orleans Pelicans vs San Antonio Spurs,New Orleans Pelicans,San Antonio Spurs,200.77728341026705,-12.444830582263387,95.0,107.0
New Orleans Pelicans vs Boston Celtics,New Orleans Pelicans,Boston Celtics,207.99049751992652,-6.00421967099713,102.0,108.0
New Orleans Pelicans vs Charlotte Hornets,New Orleans Pelicans,Charlotte Hornets,202.13327843860458,-4.308646582201553,100.0,104.0
New Orleans Pelicans vs Denver Nuggets,New Orleans Pelicans,Denver Nuggets,212.7310647390047,-2.22511744442152,106.0,108.0
New Orleans Pelicans vs Indiana Pacers,New Orleans Pelicans,Indiana Pacers,202.49659309791008,-4.8581850458966045,99.0,104.0
New Orleans Pelicans vs Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,198.30492267188453,-4.569281009640754,97.0,102.0
New Orleans Pelicans vs Miami Heat,New Orleans Pelicans,Miami Heat,198.55210093967997,-4.624782521239137,97.0,102.0
New Orleans Pelicans vs New York Knicks,New Orleans Pelicans,New York Knicks,202.19007382109874,0.745757385261343,102.0,101.0
